pcode,timestamp,label
P48,2019-05-16 10:30:00+09:00,16.0
P48,2019-05-16 10:45:00+09:00,184.0
P48,2019-05-16 11:00:00+09:00,82.0
P48,2019-05-16 11:15:00+09:00,0.0
P48,2019-05-16 11:30:00+09:00,0.0
P48,2019-05-16 11:45:00+09:00,0.0
P48,2019-05-16 12:00:00+09:00,0.0
P48,2019-05-16 12:15:00+09:00,0.0
P48,2019-05-16 12:30:00+09:00,0.0
P48,2019-05-16 12:45:00+09:00,134.0
P48,2019-05-16 13:00:00+09:00,190.0
P48,2019-05-16 13:15:00+09:00,0.0
P48,2019-05-16 13:30:00+09:00,0.0
P48,2019-05-16 13:45:00+09:00,298.0
P48,2019-05-16 14:00:00+09:00,0.0
P48,2019-05-16 14:15:00+09:00,0.0
P48,2019-05-16 14:30:00+09:00,816.0
P48,2019-05-16 14:45:00+09:00,1034.0
P48,2019-05-16 15:00:00+09:00,1154.0
P48,2019-05-16 15:15:00+09:00,1038.0
P48,2019-05-16 15:30:00+09:00,1086.0
P48,2019-05-16 15:45:00+09:00,1028.0
P48,2019-05-16 16:00:00+09:00,992.0
P48,2019-05-16 16:15:00+09:00,256.0
P48,2019-05-16 16:30:00+09:00,0.0
P48,2019-05-16 16:45:00+09:00,242.0
P48,2019-05-16 17:00:00+09:00,0.0
P48,2019-05-16 17:15:00+09:00,0.0
P48,2019-05-16 17:30:00+09:00,0.0
P48,2019-05-16 17:45:00+09:00,0.0
P48,2019-05-16 18:00:00+09:00,128.0
P48,2019-05-16 18:15:00+09:00,42.0
P48,2019-05-16 18:30:00+09:00,382.0
P48,2019-05-16 18:45:00+09:00,40.0
P48,2019-05-16 19:00:00+09:00,0.0
P48,2019-05-16 19:15:00+09:00,244.0
P48,2019-05-16 19:30:00+09:00,74.0
P48,2019-05-16 19:45:00+09:00,306.0
P48,2019-05-16 20:00:00+09:00,0.0
P48,2019-05-16 20:15:00+09:00,0.0
P48,2019-05-16 20:30:00+09:00,0.0
P48,2019-05-16 20:45:00+09:00,0.0
P48,2019-05-16 21:00:00+09:00,0.0
P48,2019-05-16 21:15:00+09:00,0.0
P48,2019-05-16 21:30:00+09:00,1036.0
P48,2019-05-16 21:45:00+09:00,0.0
P48,2019-05-16 22:00:00+09:00,0.0
P48,2019-05-16 22:15:00+09:00,0.0
P48,2019-05-16 22:30:00+09:00,0.0
P48,2019-05-16 22:45:00+09:00,0.0
P48,2019-05-16 23:00:00+09:00,0.0
P48,2019-05-16 23:15:00+09:00,0.0
P48,2019-05-16 23:30:00+09:00,0.0
P48,2019-05-16 23:45:00+09:00,0.0
P48,2019-05-17 00:00:00+09:00,0.0
P48,2019-05-17 00:15:00+09:00,0.0
P48,2019-05-17 00:30:00+09:00,0.0
P48,2019-05-17 00:45:00+09:00,0.0
P48,2019-05-17 01:00:00+09:00,0.0
P48,2019-05-17 01:15:00+09:00,0.0
P48,2019-05-17 01:30:00+09:00,0.0
P48,2019-05-17 01:45:00+09:00,0.0
P48,2019-05-17 02:00:00+09:00,0.0
P48,2019-05-17 02:15:00+09:00,0.0
P48,2019-05-17 02:30:00+09:00,0.0
P48,2019-05-17 02:45:00+09:00,0.0
P48,2019-05-17 03:00:00+09:00,0.0
P48,2019-05-17 03:15:00+09:00,0.0
P48,2019-05-17 03:30:00+09:00,0.0
P48,2019-05-17 03:45:00+09:00,0.0
P48,2019-05-17 04:00:00+09:00,0.0
P48,2019-05-17 04:15:00+09:00,0.0
P48,2019-05-17 04:30:00+09:00,0.0
P48,2019-05-17 04:45:00+09:00,0.0
P48,2019-05-17 05:00:00+09:00,0.0
P48,2019-05-17 05:15:00+09:00,0.0
P48,2019-05-17 05:30:00+09:00,0.0
P48,2019-05-17 05:45:00+09:00,0.0
P48,2019-05-17 06:00:00+09:00,0.0
P48,2019-05-17 06:15:00+09:00,0.0
P48,2019-05-17 06:30:00+09:00,0.0
P48,2019-05-17 06:45:00+09:00,0.0
P48,2019-05-17 07:00:00+09:00,0.0
P48,2019-05-17 07:15:00+09:00,0.0
P48,2019-05-17 07:30:00+09:00,0.0
P48,2019-05-17 07:45:00+09:00,0.0
P48,2019-05-17 08:00:00+09:00,0.0
P48,2019-05-17 08:15:00+09:00,0.0
P48,2019-05-17 08:30:00+09:00,0.0
P48,2019-05-17 08:45:00+09:00,0.0
P48,2019-05-17 09:00:00+09:00,0.0
P48,2019-05-17 09:15:00+09:00,0.0
P48,2019-05-17 09:30:00+09:00,0.0
P48,2019-05-17 09:45:00+09:00,0.0
P48,2019-05-17 10:00:00+09:00,426.0
P48,2019-05-17 10:15:00+09:00,124.0
P48,2019-05-17 10:30:00+09:00,60.0
P48,2019-05-17 10:45:00+09:00,266.0
P48,2019-05-17 11:00:00+09:00,302.0
P48,2019-05-17 11:15:00+09:00,0.0
P48,2019-05-17 11:30:00+09:00,28.0
P48,2019-05-17 11:45:00+09:00,90.0
P48,2019-05-17 12:00:00+09:00,458.0
P48,2019-05-17 12:15:00+09:00,614.0
P48,2019-05-17 12:30:00+09:00,0.0
P48,2019-05-17 12:45:00+09:00,20.0
P48,2019-05-17 13:00:00+09:00,54.0
P48,2019-05-17 13:15:00+09:00,736.0
P48,2019-05-17 13:30:00+09:00,320.0
P48,2019-05-17 13:45:00+09:00,0.0
P48,2019-05-17 14:00:00+09:00,10.0
P48,2019-05-17 14:15:00+09:00,0.0
P48,2019-05-17 14:30:00+09:00,0.0
P48,2019-05-17 14:45:00+09:00,0.0
P48,2019-05-17 15:00:00+09:00,26.0
P48,2019-05-17 15:15:00+09:00,114.0
P48,2019-05-17 15:30:00+09:00,94.0
P48,2019-05-17 15:45:00+09:00,0.0
P48,2019-05-17 16:00:00+09:00,0.0
P48,2019-05-17 16:15:00+09:00,0.0
P48,2019-05-17 16:30:00+09:00,0.0
P48,2019-05-17 16:45:00+09:00,0.0
P48,2019-05-17 17:00:00+09:00,0.0
P48,2019-05-17 17:15:00+09:00,0.0
P48,2019-05-17 17:30:00+09:00,0.0
P48,2019-05-17 17:45:00+09:00,0.0
P48,2019-05-17 18:00:00+09:00,0.0
P48,2019-05-17 18:15:00+09:00,0.0
P48,2019-05-17 18:30:00+09:00,0.0
P48,2019-05-17 18:45:00+09:00,0.0
P48,2019-05-17 19:00:00+09:00,0.0
P48,2019-05-17 19:15:00+09:00,0.0
P48,2019-05-17 19:30:00+09:00,0.0
P48,2019-05-17 19:45:00+09:00,0.0
P48,2019-05-17 20:00:00+09:00,0.0
P48,2019-05-17 20:15:00+09:00,0.0
P48,2019-05-17 20:30:00+09:00,0.0
P48,2019-05-17 20:45:00+09:00,0.0
P48,2019-05-17 21:00:00+09:00,0.0
P48,2019-05-17 21:15:00+09:00,1074.0
P48,2019-05-17 21:30:00+09:00,36.0
P48,2019-05-17 21:45:00+09:00,654.0
P48,2019-05-17 22:00:00+09:00,0.0
P48,2019-05-17 22:15:00+09:00,320.0
P48,2019-05-17 22:30:00+09:00,426.0
P48,2019-05-17 22:45:00+09:00,26.0
P48,2019-05-17 23:00:00+09:00,154.0
P48,2019-05-17 23:15:00+09:00,62.0
P48,2019-05-17 23:30:00+09:00,978.0
P48,2019-05-17 23:45:00+09:00,68.0
P48,2019-05-18 00:00:00+09:00,132.0
P48,2019-05-18 00:15:00+09:00,0.0
P48,2019-05-18 00:30:00+09:00,0.0
P48,2019-05-18 00:45:00+09:00,0.0
P48,2019-05-18 01:00:00+09:00,0.0
P48,2019-05-18 01:15:00+09:00,0.0
P48,2019-05-18 01:30:00+09:00,0.0
P48,2019-05-18 01:45:00+09:00,0.0
P48,2019-05-18 02:00:00+09:00,0.0
P48,2019-05-18 02:15:00+09:00,0.0
P48,2019-05-18 02:30:00+09:00,0.0
P48,2019-05-18 02:45:00+09:00,0.0
P48,2019-05-18 03:00:00+09:00,0.0
P48,2019-05-18 03:15:00+09:00,0.0
P48,2019-05-18 03:30:00+09:00,0.0
P48,2019-05-18 03:45:00+09:00,0.0
